# firmware-2712 firmware versions
#
# Maps each pieeprom-YYYY-MM-DD.bin to the BUILD_TIMESTAMP
# and source git hash embedded in the binary, plus the
# release (default / latest / old) the file lives in. When
# a binary appears in more than one release the highest-
# precedence one wins:
#     default > latest > old   (old = archived)
#
# Generated by tools/update-versions-txt. Sorted newest-first.
#
# version     build_epoch  fw_git_hash  release
2026-04-27  1777248418  c2a7b9d3    latest
2026-04-14  1776201624  9cd61c53    latest
2026-02-23  1771840899  85353ce4    latest
2026-02-06  1770388300  8124798b    latest
2026-01-21  1769002727  ab8a9dde    latest
2026-01-16  1768585427  4aec3e13    latest
2025-12-08  1765222194  2226a853    default
2025-11-27  1764250826  999d0ec9    old
2025-11-21  1763732176  b8803387    old
2025-11-05  1762364238  57db150d    default
2025-10-17  1760694517  b66568da    old
2025-10-08  1759940358  a06c733f    old
2025-09-25  1758829114  f6ca7458    old
2025-09-23  1758625555  02da46a3    old
2025-09-22  1758541389  9652cde4    old
2025-08-27  1756321307  000d3ca2    old
2025-08-20  1755703318  cd866525    old
2025-08-13  1755094299  bb80e517    old
2025-07-17  1752769512  a668b6e6    old
2025-07-03  1751539154  ab660caa    old
2025-06-29  1751239011  6672d86c    old
2025-06-20  1750421313  960432b6    old
2025-06-13  1749807566  5855b10b    old
2025-06-09  1749461452  3a4915a4    old
2025-05-08  1746713597  69471177    default
2025-04-07  1744067807  50beecf0    old
2025-03-27  1743034604  897f94ed    old
2025-03-19  1742391686  cec1d3ae    old
2025-03-10  1741626637  2bb2ae64    old
2025-03-03  1741014903  9116015f    old
2025-02-12  1739357512  f788aab6    old
2025-02-11  1739293519  75c1e570    old
2025-01-27  1737983339  76eda9d7    old
2025-01-22  1737505011  a7753063    old
2025-01-14  1736813808  0451f142    old
2025-01-13  1736727407  fa261b3c    old
2025-01-08  1736358768  97facbf4    old
2025-01-07  1736263931  e10f823b    old
2025-01-06  1736182835  f49ef7cb    old
2024-12-19  1734609433  ccf64a4f    old
2024-12-15  1734221810  461827f2    old
2024-12-07  1733575343  3858f977    old
2024-11-27  1732717699  0b72471b    old
2024-11-12  1731427844  4b019946    old
2024-11-05  1730810292  3c4fc886    old
2024-10-21  1729520869  951e1cc9    old
2024-10-10  1728517007  0e63dd5e    old
2024-09-23  1727096576  26826259    old
2024-09-10  1725975630  5be4f304    old
2024-09-05  1725562503  7fe8d029    old
2024-07-30  1722349546  790da7ef    old
2024-07-25  1721921872  622dd3d8    old
2024-06-05  1717602109  6fe0b091    old
2024-06-04  1717489297  503a909a    old
2024-05-17  1715945383  72caf667    old
2024-05-13  1715613301  83b5e5e6    old
2024-04-20  1713610410  d1744d21    old
2024-04-18  1713429900  86ccc427    old
2024-04-17  1713358463  0b7b6f28    old
2024-04-05  1712313679  a482d84b    old
2024-02-16  1708097321  4c845bd3    old
2024-02-14  1707895062  c1b99e8d    old
2024-02-08  1707392087  42e0a50b    old
2024-02-05  1707143914  0e79493d    old
2024-01-24  1706098561  1aeae380    old
2024-01-22  1705934676  e891ded6    old
2024-01-15  1705345348  f0aa0715    old
2024-01-05  1704470260  30cc5f37    old
2023-12-14  1702572205  0f881224    old
2023-12-06  1701887365  e02d33b3    old
2023-11-20  1700509217  361205c6    old
2023-10-30  1698684310  30de0ba5    old
2023-10-18  1697650217  c2da2ae7    old
2023-09-28  1695896697  b74d18ae    old
2023-09-21  1695315523  3094eda5    old
2023-09-13  1694601426  9d494316    old
